property#,owner_id,street_address,apt#,city,state,zip_code,home_type,bedrooms,bathrooms,sq_feet,lot_size,year_built,architecture,pool,property_taxes,condo_fees,when_bought,remaining_mortgage
1466,2033,389 Zoie Ridge,426,Eddfield,Texas,17690,condo,6,3,3800, NULL ,1990,gothic,Y, NULL ,46,1986,216505
1467,4517,27599 McKenzie Rapids,192,South Mylene,Minnesota,61208,condo,8,1,4600, NULL ,1928,prairie,Y, NULL ,55,2022,13750
1468,1053,6625 Feest Walk,18,New Arthurville,Oklahoma,42471,condo,6,2,3700, NULL ,1944,rowhouse,Y, NULL ,44,1997,149512.5
1469,3016,4788 Hilpert Crescent,399,Sterling Heights,Colorado,31733,condo,9,1,5100, NULL ,1986,antebellum,Y, NULL ,61,1990,259250
1470,2167,39055 Kuphal Parkway,191,Casper,New Jersey,67165,condo,7,6,4600, NULL ,1953,federal,Y, NULL ,55,1998,180180
1471,7315,426 Schneider Common,368,Jerrellville,Rhode Island,72947,condo,3,1,2100, NULL ,1996,farmhouse,N, NULL ,25,2018,18750
1472,466,169 Lilyan Crescent,483,Mayaguez,Kentucky,37260,condo,10,9,6400, NULL ,1929,saltbox,N, NULL ,77,1986,367175
1473,2301,28378 Zula Roads,398,Port Lianatown,Louisiana,23170,condo,9,7,5700, NULL ,2003,A-frame,Y, NULL ,69,2018,51540
1474,545,4777 Hettinger Flat,281,East Rossland,South Carolina,42968,condo,4,1,2600, NULL ,1936,spanish,N, NULL ,31,2023,3875
1475,2158,686 Lueilwitz Brook,276,Port Milfordstad,Wyoming,7760,condo,3,2,2200, NULL ,2012,cabin,N, NULL ,26,2018,19725
1476,9311,5815 Leif Points,260,Town 'n' Country,Colorado,20245,condo,1,1,1100, NULL ,1964,colonial,N, NULL ,13,2003,34125
1477,7704,3579 Kobe Stream,278,Burlington,Alabama,94506,condo,3,3,2300, NULL ,1924,cape cod,N, NULL ,28,2011,44817.5
1478,8824,1705 Jon Village,355,Labadieburgh,Texas,60508,condo,3,2,2200, NULL ,1926,country,Y, NULL ,26,2016,26300
1479,1401,994 Ansley Run,422,Bartontown,Maine,84308,condo,9,7,5700, NULL ,1959,victorian,N, NULL ,69,1991,283470
1480,8667,852 Maurice Way,406,Port Lisetteboro,Oregon,84119,condo,5,3,3300, NULL ,1985,tudor,N, NULL ,40,1996,138530
1481,3303,14696 Kylie Dam,181,Oberbrunnershire,Maryland,97714,condo,6,3,3800, NULL ,1966,craftsman,Y, NULL ,46,2020,22790
1482,1639,648 Braun Spurs,149,North Felicityshire,West Virginia,512,condo,5,1,3100, NULL ,2012,cottage,N, NULL ,37,1997,124875
1483,6020,176 Caleb Field,392,Stantonside,Hawaii,28087,condo,3,3,2300, NULL ,1996,mediterranean,N, NULL ,28,2023,3447.5
1484,8365,182 Constantin Valley,121,Feilworth,North Dakota,23268,condo,10,9,6400, NULL ,1979,ranch,Y, NULL ,77,2015,86962.5
1485,3287,609 Bauch Pines,59,Altoona,Nebraska,22143,condo,10,7,6200, NULL ,1946,contemporary,Y, NULL ,75,2015,84060
1486,8307,8636 Bauch Course,105,Moenstead,New Jersey,3860,condo,11,10,7000, NULL ,1947,italian,Y, NULL ,85,2014,105725
1487,1420,8684 Hayes Hill,89,Bechtelarborough,Washington,11296,condo,10,2,5700, NULL ,1957,georgian,N, NULL ,68,2010,119525
1488,1294,30047 Olson Dale,288,Doral,South Carolina,86190,condo,2,2,1700, NULL ,1944,greek,N, NULL ,20,2000,60900
1489,2804,504 Ondricka Islands,312,Lynwood,Wisconsin,74895,condo,12,7,7200, NULL ,1950,french,N, NULL ,87,2001,249320
1490,1235,2467 Spinka Light,340,South Dino,Oklahoma,98183,condo,9,6,5600, NULL ,1928,modern,N, NULL ,67,2009,126450
1491,2585,6647 Lockman Glen,498,Port Ninaport,Alaska,83078,condo,11,8,6800, NULL ,1949,gothic,N, NULL ,82,1989,358750
1492,1202,619 Pat Port,172,Sparks,West Virginia,78573,condo,11,4,6400, NULL ,2000,prairie,Y, NULL ,77,1989,336262.5
1493,5862,368 Quigley Hill,187,Greenwood,Arkansas,54958,condo,10,6,6100, NULL ,1985,rowhouse,N, NULL ,73,1989,321300
1494,213,435 Elbert Groves,114,Tyler,North Carolina,41547,condo,7,5,4500, NULL ,1965,antebellum,N, NULL ,54,1984,270700
1495,2703,6652 Eleazar Harbors,89,West Antonialand,Minnesota,38295,condo,5,3,3300, NULL ,1953,federal,N, NULL ,40,1996,138530
1496,3709,36455 Wolf Dam,250,Lemuelside,Wisconsin,29919,condo,9,6,5600, NULL ,2017,farmhouse,N, NULL ,67,2017,59010
1497,4764,90291 Fadel Square,234,Stehrberg,New York,47346,condo,12,5,7000, NULL ,1953,saltbox,Y, NULL ,84,1994,315525
1498,1875,5703 Hettinger Landing,159,East Maciefield,Florida,79682,condo,2,1,1600, NULL ,1954,A-frame,Y, NULL ,19,1994,71250
1499,3528,203 Cummerata Forge,168,Geofort,Georgia,88358,condo,5,1,3100, NULL ,1970,spanish,N, NULL ,37,1987,171125
1500,7050,596 Vito Radial,205,Yuba City,New York,66260,condo,7,6,4600, NULL ,1931,cabin,N, NULL ,55,2009,103950
1501,7143,6849 Stark Tunnel,171,Alexishaven,Wyoming,75818,condo,9,8,5800, NULL ,1954,colonial,Y, NULL ,70,2006,157500
1502,3192,99432 VonRueden Harbors,188,Unafield,Connecticut,78839,condo,6,5,4000, NULL ,2024,cape cod,N, NULL ,48,1997,162472.5
1503,6141,80186 Mathew Crossing,67,Bryan,South Carolina,28733,condo,3,2,2200, NULL ,2021,country,N, NULL ,26,2019,16437.5
1504,6257,96674 Tomas Plains,85,North Jefferyworth,Missouri,63596,condo,11,5,6500, NULL ,1990,victorian,N, NULL ,78,2018,58605
1505,9088,73754 Shaina Well,121,Bettyhaven,Kentucky,29905,condo,8,7,5200, NULL ,1923,tudor,Y, NULL ,63,2019,39200
1506,344,96452 Kraig Ports,500,South Karabury,Pennsylvania,94392,condo,3,1,2100, NULL ,2018,craftsman,N, NULL ,25,2019,15625
1507,7418,8035 Greenholt Route,365,Schaumburg,Mississippi,74878,condo,1,1,1100, NULL ,1920,cottage,N, NULL ,13,2018,9750
1508,397,4331 Tromp Pines,232,Rio Rancho,New Jersey,16292,condo,11,5,6500, NULL ,1957,mediterranean,N, NULL ,78,1989,341862.5
1509,298,136 Vandervort Curve,40,Wardshire,California,79924,condo,10,9,6400, NULL ,2010,ranch,Y, NULL ,77,1988,347850
1510,7549,702 Schmeler Ways,397,Port Darren,Louisiana,30329,condo,2,1,1600, NULL ,1955,contemporary,Y, NULL ,19,1995,68875
1511,1067,21012 Conroy Flats,279,Feltonworth,Iowa,43581,condo,7,5,4500, NULL ,1969,italian,Y, NULL ,54,1994,203025
1512,9257,1441 Wilderman Villages,15,Caguas,Delaware,83037,condo,7,6,4600, NULL ,1941,georgian,N, NULL ,55,2010,97020
1513,5695,91841 Antonette Meadows,216,Fort Orie,Colorado,78833,condo,11,2,6200, NULL ,2023,greek,Y, NULL ,74,1992,297200
1514,2541,5662 Franecki Overpass,191,Lake Herminioside,Kansas,32730,condo,3,3,2300, NULL ,2023,french,N, NULL ,28,1986,131005
1515,7346,46653 Laron Dam,184,Port Jocelyn,Nebraska,36236,condo,5,5,3500, NULL ,1937,modern,Y, NULL ,42,1984,210700
1516,3808,25165 Clemmie Knolls,272,South Travisville,Iowa,89849,condo,10,6,6100, NULL ,2021,gothic,N, NULL ,73,1988,330480
1517,8618,56253 Kiel Court,313,Jacobsonstad,Idaho,74291,condo,8,1,4600, NULL ,1997,prairie,N, NULL ,55,2008,110000
1518,3857,665 Enos Forks,468,Mission,Oklahoma,46964,condo,1,1,1100, NULL ,1966,rowhouse,Y, NULL ,13,1997,43875
1519,4872,844 Fisher Gardens,182,Andreboro,New York,15856,condo,8,2,4700, NULL ,1969,antebellum,N, NULL ,56,2019,35187.5
1520,748,41675 Feest Forks,278,Iowa City,Florida,53656,condo,3,1,2100, NULL ,2021,federal,N, NULL ,25,2023,3125
1521,233,64022 Jamaal Avenue,0,North Clarabelle,North Dakota,27059,condo,5,1,3100, NULL ,1959,farmhouse,N, NULL ,37,2013,50875
1522,1508,6997 Rowan Dale,214,Fort Juvenal,Colorado,10991,condo,6,2,3700, NULL ,1964,saltbox,N, NULL ,44,2007,94137.5
1523,645,683 Hilpert Spurs,405,West Willyville,Alabama,19120,condo,11,11,7100, NULL ,1960,A-frame,N, NULL ,86,1990,364905
1524,6038,87672 Xander Green,232,Evanfield,South Carolina,97593,condo,4,2,2700, NULL ,1991,spanish,N, NULL ,32,1999,100937.5
1525,7076,269 Mayra Bridge,436,Lake Oranstead,Oregon,44284,condo,2,1,1600, NULL ,1950,cabin,Y, NULL ,19,2011,30875
1526,629,317 Boehm Plaza,125,Port Ashtyn,Arizona,43272,condo,3,1,2100, NULL ,1987,colonial,N, NULL ,25,1987,115625
1527,7724,4742 Moriah Mews,300,Michaelastad,Nevada,63796,condo,12,4,6900, NULL ,2008,cape cod,N, NULL ,83,1985,403942.5
1528,5868,9496 Hand Trail,453,South Electa,Indiana,63534,condo,5,1,3100, NULL ,2020,country,N, NULL ,37,1984,185000
1529,5220,7988 Zulauf Loop,0,Vivianeboro,Tennessee,18698,condo,10,3,5800, NULL ,2005,victorian,Y, NULL ,70,2008,139160
1530,2475,590 Gerlach Mill,303,Grahamberg,Massachusetts,53123,condo,3,2,2200, NULL ,1934,tudor,Y, NULL ,26,2005,62462.5
1531,5974,8831 Dorris Islands,23,Zoraburgh,Texas,42286,condo,9,9,5900, NULL ,1975,craftsman,N, NULL ,71,1990,303025
1532,9512,21253 Bauch Tunnel,80,Thornton,Virginia,4137,condo,2,2,1700, NULL ,1998,cottage,N, NULL ,20,2015,22837.5
1533,3826,666 Hoeger Spurs,478,Port Sydniefort,Nebraska,54670,condo,2,2,1700, NULL ,1977,mediterranean,N, NULL ,20,2008,40600
1534,9598,3619 Macejkovic Radial,412,Friesenworth,Delaware,69772,condo,3,1,2100, NULL ,2010,ranch,N, NULL ,25,2008,50000
1535,9080,76220 Hoppe Ford,150,Langchester,Missouri,37534,condo,2,2,1700, NULL ,1953,contemporary,Y, NULL ,20,1989,88812.5
1536,654,178 Tillman Course,474,Emardstead,Wisconsin,69890,condo,9,1,5100, NULL ,1937,italian,N, NULL ,61,1998,198250
1537,4561,5050 Dave Place,113,Willchester,Texas,3991,condo,3,2,2200, NULL ,1931,georgian,N, NULL ,26,1999,82187.5
1538,6377,41160 Ernser Tunnel,197,Lake Carleeboro,Maryland,21397,condo,5,4,3400, NULL ,1945,greek,N, NULL ,41,2009,76612.5
1539,9259,2990 Steuber Hills,304,North Miltonborough,Colorado,18786,condo,6,5,4000, NULL ,1927,french,N, NULL ,48,2019,30087.5
1540,4100,61200 Ardella Corners,8,St. Paul,Washington,81165,condo,1,1,1100, NULL ,1967,modern,Y, NULL ,13,2020,6500
1541,5097,7192 DuBuque Park,224,South Anderson,Maine,97466,condo,10,4,5900, NULL ,2012,gothic,Y, NULL ,71,2019,44287.5
1542,587,6727 Gutkowski Rest,53,Lake Herminio,New York,83896,condo,5,5,3500, NULL ,1985,prairie,N, NULL ,42,2018,31605
1543,8770,9027 Braun Wall,399,Lake Romanberg,Ohio,71771,condo,4,2,2700, NULL ,1923,rowhouse,Y, NULL ,32,2019,20187.5
1544,1850,74044 Nikolaus Alley,225,New Cathy,North Dakota,65843,condo,4,2,2700, NULL ,1981,antebellum,Y, NULL ,32,2001,92862.5
1545,6771,738 Brody Walks,234,Rowlett,Missouri,82863,condo,3,2,2200, NULL ,1930,federal,Y, NULL ,26,1999,82187.5
1546,7126,49315 Meta Road,72,Killeen,Illinois,8748,condo,5,5,3500, NULL ,1948,farmhouse,Y, NULL ,42,2001,121152.5
1547,7600,1598 Leffler Harbor,282,East Jaimeberg,Wyoming,9877,condo,9,1,5100, NULL ,2006,saltbox,Y, NULL ,61,1986,289750
1548,7725,5232 Ibrahim Ferry,245,Kolbyhaven,Kansas,57731,condo,4,4,2900, NULL ,1993,A-frame,N, NULL ,35,2021,13072.5
1549,8711,1556 Rodriguez Branch,371,Collinsstad,Missouri,68137,condo,1,1,1100, NULL ,1984,spanish,N, NULL ,13,2003,34125
1550,352,33353 Dario Mall,12,Efrainland,Idaho,72197,condo,12,1,6600, NULL ,1982,cabin,N, NULL ,79,1990,335750
1551,8363,148 Tina Pine,130,Port Merlin,North Carolina,7612,condo,8,1,4600, NULL ,1921,colonial,N, NULL ,55,2011,89375
1552,1843,133 Delores Port,288,University,Oklahoma,50192,condo,1,1,1100, NULL ,1959,cape cod,N, NULL ,13,1991,53625
1553,4743,3300 Konopelski Trafficway,38,Rodrigotown,Missouri,23932,condo,10,4,5900, NULL ,1974,country,Y, NULL ,71,1990,301155
1554,3559,5348 Elisa Forest,401,Port Libbieburgh,Oklahoma,29471,condo,12,8,7300, NULL ,1978,victorian,Y, NULL ,88,2021,33000
1555,2284,1854 Benedict Grove,160,Milford,Nevada,32173,condo,2,1,1600, NULL ,1990,tudor,Y, NULL ,19,2023,2375
1556,7015,677 Alexys Pines,361,Alessandrotown,Idaho,65728,condo,2,1,1600, NULL ,1922,craftsman,N, NULL ,19,1993,73625
1557,6953,78674 King Fords,482,Port Urbanfield,Ohio,11746,condo,9,7,5700, NULL ,1923,cottage,N, NULL ,69,2001,197570
1558,5847,90373 Goyette Forest,103,Allentown,Rhode Island,9888,condo,1,1,1100, NULL ,1961,mediterranean,N, NULL ,13,1986,61750
1559,6379,994 Merl Lock,16,Lake Braxton,Maine,57793,condo,4,3,2800, NULL ,1942,ranch,Y, NULL ,34,2015,37777.5
1560,9371,53337 Donnelly Burg,446,Paucekcester,Idaho,16099,condo,12,11,7600, NULL ,1931,contemporary,N, NULL ,92,2021,34447.5
1561,8972,993 Aletha Expressway,405,Port Norval,New York,75534,condo,4,4,2900, NULL ,1920,italian,Y, NULL ,35,2015,39217.5
1562,2705,61592 Lemke Loaf,254,Lindville,Virginia,1402,condo,9,6,5600, NULL ,2003,georgian,Y, NULL ,67,1998,219180
1563,7028,85883 Ledner Valleys,423,East Fausto,Alabama,4131,condo,9,7,5700, NULL ,1955,greek,Y, NULL ,69,2015,77310
1564,309,2408 Greenholt Cliff,35,West Howellborough,Wisconsin,16196,condo,4,4,2900, NULL ,1944,french,Y, NULL ,35,2000,104580
1565,1098,520 Fritsch Hill,200,New Tinaport,North Carolina,25270,condo,11,5,6500, NULL ,1983,modern,N, NULL ,78,1995,283257.5
1566,5382,1108 Estell Cliffs,328,Fort Brandoside,Arizona,62845,condo,4,3,2800, NULL ,1942,gothic,N, NULL ,34,2022,8395
1567,5420,541 Aubree Hill,146,Angieview,Virginia,93809,condo,4,4,2900, NULL ,1990,prairie,N, NULL ,35,1985,169942.5
1568,5221,7639 Willa Trafficway,426,North Theodora,Virginia,4707,condo,3,3,2300, NULL ,1979,rowhouse,N, NULL ,28,2010,48265
1569,7482,16408 Walter Ridges,205,Fisherstad,Iowa,88816,condo,11,7,6700, NULL ,1984,antebellum,N, NULL ,81,1989,353150
1570,5496,634 Olson Pines,479,South Arno,Washington,20668,condo,1,1,1100, NULL ,2019,federal,N, NULL ,13,2010,22750
1571,5924,4855 Courtney Expressway,218,Kuvalismouth,Texas,424,condo,2,1,1600, NULL ,1989,farmhouse,N, NULL ,19,2009,35625
1572,8814,63546 Bertrand Shores,213,Tremblaystead,California,52218,condo,5,3,3300, NULL ,1940,saltbox,Y, NULL ,40,1994,148425
1573,872,46900 Aurelio Lake,337,Pleasanton,Massachusetts,62106,condo,10,1,5600, NULL ,1945,A-frame,N, NULL ,67,2009,125625
1574,7638,415 Ignacio Lights,236,Lake Alisamouth,California,91351,condo,5,4,3400, NULL ,2015,spanish,Y, NULL ,41,2001,117472.5
1575,3431,913 Augustine Lodge,383,Jerdeport,Indiana,38834,condo,9,2,5200, NULL ,1920,cabin,Y, NULL ,62,1985,303712.5
1576,4344,9630 Deshawn Underpass,217,Grand Rapids,New Jersey,68807,condo,1,1,1100, NULL ,1931,colonial,N, NULL ,13,1990,55250
1577,9950,559 Sammy Overpass,388,South Titusview,Montana,91731,condo,6,3,3800, NULL ,1939,cape cod,Y, NULL ,46,1999,142437.5
1578,5508,66738 Goodwin Highway,434,North Lyda,Idaho,84406,condo,10,1,5600, NULL ,2005,country,Y, NULL ,67,2023,8375
1579,1406,4318 Danika Well,262,Langworthport,Arizona,88072,condo,2,2,1700, NULL ,1993,victorian,Y, NULL ,20,2012,30450
1580,4393,855 Carlie Forks,237,Lake Immanuelchester,South Dakota,852,condo,9,9,5900, NULL ,2002,tudor,Y, NULL ,71,1998,231725
1581,5302,6101 Maida Unions,319,Lebsackstad,Texas,24469,condo,7,2,4200, NULL ,1983,craftsman,N, NULL ,50,2013,69162.5
1582,1009,20164 Dillan Rapid,62,East Iliana,Virginia,47439,condo,2,2,1700, NULL ,1973,cottage,Y, NULL ,20,1992,81200
1583,3267,6776 Oberbrunner Viaduct,137,Littelmouth,Florida,53223,condo,2,2,1700, NULL ,1939,mediterranean,Y, NULL ,20,2012,30450
1584,8258,16070 Paul Lakes,7,Chico,South Dakota,12770,condo,11,4,6400, NULL ,1971,ranch,Y, NULL ,77,2003,201757.5
1585,1464,43736 Malachi Plains,340,Lindgrenland,Utah,67992,condo,1,1,1100, NULL ,1964,contemporary,Y, NULL ,13,1985,63375
1586,8218,84310 Alexa Drive,59,Vallejo,Nebraska,15979,condo,12,10,7500, NULL ,1951,italian,N, NULL ,91,2023,11322.5
1587,5087,552 Triston Spring,249,Corkeryville,North Dakota,94912,condo,9,1,5100, NULL ,1955,georgian,Y, NULL ,61,2009,114375
1588,8163,71891 Marilyne Prairie,403,East Clark,North Dakota,87504,condo,1,1,1100, NULL ,1946,greek,N, NULL ,13,1998,42250
1589,3560,769 Trever Courts,81,Alenafort,Louisiana,51795,condo,10,4,5900, NULL ,1963,french,Y, NULL ,71,2017,62002.5
1590,951,16785 Borer Isle,146,Groverhaven,Mississippi,60076,condo,6,2,3700, NULL ,2018,modern,Y, NULL ,44,1988,199350
1591,4855,98048 Kiehn Fields,172,East Dashawnhaven,Arizona,84047,condo,3,2,2200, NULL ,1931,gothic,Y, NULL ,26,2001,75612.5
1592,7759,613 Frami Rapid,111,Kingstad,Vermont,624,condo,10,1,5600, NULL ,1976,prairie,Y, NULL ,67,2021,25125
1593,5996,7442 Sporer Point,423,Rudystad,Colorado,68686,condo,11,8,6800, NULL ,1938,rowhouse,N, NULL ,82,1987,379250
1594,7924,284 Funk Throughway,102,Huelville,New Mexico,25792,condo,2,1,1600, NULL ,1932,antebellum,Y, NULL ,19,1985,92625
1595,9235,93746 Israel Centers,75,Lake Fabiolahaven,Illinois,13669,condo,5,5,3500, NULL ,1920,federal,Y, NULL ,42,2005,100082.5
1596,7722,607 Lehner Canyon,255,Visalia,California,56655,condo,11,11,7100, NULL ,1951,farmhouse,N, NULL ,86,2019,53662.5
1597,3604,32909 Smith Landing,129,Kuhlmanmouth,California,38495,condo,7,4,4400, NULL ,1955,saltbox,Y, NULL ,53,2018,39645
1598,8449,791 Auer Lights,396,Trujillo Alto,Rhode Island,29332,condo,8,6,5100, NULL ,1992,A-frame,N, NULL ,61,2022,15360
1599,8481,48328 Amelie Ranch,471,West Richardbury,Virginia,95520,condo,6,4,3900, NULL ,1925,spanish,N, NULL ,47,2023,5857.5
1600,5445,2566 Smitham Streets,238,Cloviscester,California,33620,condo,2,2,1700, NULL ,1940,cabin,N, NULL ,20,1994,76125
1601,6650,879 Reynolds Orchard,247,Port Margaritacester,New Jersey,38465,condo,1,1,1100, NULL ,2024,colonial,N, NULL ,13,2008,26000
1602,6770,2483 Bogisich Village,490,New Ambrose,Missouri,37543,condo,1,1,1100, NULL ,1989,cape cod,N, NULL ,13,2016,13000
1603,8193,19763 King Heights,146,Corkerychester,Massachusetts,57051,condo,3,3,2300, NULL ,1980,country,Y, NULL ,28,1985,134452.5
1604,9058,983 Julian Place,232,South Hoytberg,Michigan,37404,condo,12,3,6800, NULL ,2010,victorian,N, NULL ,82,1986,387505
1605,1821,1188 Earlene Grove,80,Sigmundstad,Rhode Island,38695,condo,3,2,2200, NULL ,1958,tudor,Y, NULL ,26,1997,88762.5
1606,3847,9058 Loyce Greens,91,Eagan,Kentucky,30573,condo,4,1,2600, NULL ,2000,craftsman,N, NULL ,31,1988,139500
1607,339,28699 Senger Extensions,492,West Jedbury,Delaware,25969,condo,4,3,2800, NULL ,1957,cottage,N, NULL ,34,1987,155307.5
1608,5209,451 Becker Creek,211,Philadelphia,South Dakota,56425,condo,7,6,4600, NULL ,2002,mediterranean,Y, NULL ,55,2023,6930
1609,6811,3592 Borer Expressway,489,Estherbury,Illinois,22711,condo,11,6,6600, NULL ,1925,ranch,Y, NULL ,79,2023,9930
1610,7901,8978 Botsford Lakes,236,Justusborough,South Dakota,56069,condo,1,1,1100, NULL ,2007,contemporary,Y, NULL ,13,1986,61750
1611,8206,7649 Blanda Ports,11,Milwaukee,Maine,2851,condo,6,5,4000, NULL ,1934,italian,N, NULL ,48,2014,60175
1612,3765,2267 Carolina Mill,253,North Marlonbury,Minnesota,88988,condo,5,3,3300, NULL ,1964,georgian,N, NULL ,40,1985,192952.5
1613,3679,2864 Braun River,354,Stanfordcester,Nevada,79696,condo,2,1,1600, NULL ,1983,greek,Y, NULL ,19,2009,35625
1614,9666,260 Clemens Key,166,Hoppefort,Montana,2035,condo,9,9,5900, NULL ,1943,french,N, NULL ,71,1992,285200
1615,8639,8260 Herman Parkways,139,Ezekielfurt,Arkansas,35256,condo,1,1,1100, NULL ,1945,modern,N, NULL ,13,1994,48750
1616,5597,78633 Emmett Pine,178,Danielleberg,Nebraska,89913,condo,11,8,6800, NULL ,1983,gothic,N, NULL ,82,2016,82000
1617,2279,70863 Luettgen Islands,378,Logan,Iowa,95123,condo,7,6,4600, NULL ,1983,prairie,N, NULL ,55,2009,103950
1618,518,765 Stehr Parkway,402,West New York,Arizona,22731,condo,2,1,1600, NULL ,2016,rowhouse,N, NULL ,19,2011,30875
1619,1604,72375 Laurie Place,225,St. Joseph,Colorado,99997,condo,1,1,1100, NULL ,1978,antebellum,N, NULL ,13,2023,1625
1620,5215,27029 Haag Lakes,35,Ellsworthview,Tennessee,7617,condo,9,3,5300, NULL ,2008,federal,Y, NULL ,64,2007,135107.5
1621,9654,756 Schimmel Forest,23,Bakersfield,Alaska,86850,condo,9,9,5900, NULL ,1976,farmhouse,Y, NULL ,71,2004,178250
1622,4666,91860 Rodriguez Junction,70,Lake Hiram,Nebraska,96687,condo,2,1,1600, NULL ,1954,saltbox,Y, NULL ,19,2002,52250
1623,3419,458 Hettinger Lights,420,New Percivaltown,Maryland,93259,condo,11,6,6600, NULL ,1956,A-frame,N, NULL ,79,2012,119160
1624,2425,45763 Waters Spur,218,Plymouth,Maryland,59318,condo,8,8,5300, NULL ,2013,spanish,Y, NULL ,64,1997,216000
1625,4853,914 McCullough Shore,91,Trompbury,New Jersey,14286,condo,7,7,4700, NULL ,1991,cabin,N, NULL ,57,2016,56720
1626,2273,174 Kuphal Bypass,248,South Joseph,Kentucky,2307,condo,6,6,4100, NULL ,1999,colonial,Y, NULL ,49,2018,37080
1627,9713,705 Breitenberg Crest,94,Lemkefield,Ohio,50970,condo,6,4,3900, NULL ,2024,cape cod,N, NULL ,47,2016,46860
1628,550,29966 Wiza Walks,141,Chattanooga,Ohio,87312,condo,12,4,6900, NULL ,1984,country,Y, NULL ,83,2015,93217.5
1629,9985,85497 Bednar Lane,401,New Ryleigh,Alaska,16511,condo,3,1,2100, NULL ,1970,victorian,N, NULL ,25,1984,125000
1630,4200,53361 Dach Valleys,74,Southaven,Arizona,54518,condo,10,4,5900, NULL ,2016,tudor,N, NULL ,71,1999,221437.5
1631,5246,513 Wilfredo Trail,325,Tulare,West Virginia,94630,condo,2,2,1700, NULL ,2005,craftsman,N, NULL ,20,2018,15225
1632,2056,2484 Timmothy Creek,179,Fort Susanamouth,North Carolina,34930,condo,10,2,5700, NULL ,1965,cottage,Y, NULL ,68,2016,68300
1633,2769,307 Oren Ranch,313,Hamillview,Arkansas,94264,condo,3,2,2200, NULL ,1998,mediterranean,N, NULL ,26,1998,85475
1634,8795,2150 Prosacco Point,387,East Jettieview,Missouri,19469,condo,4,1,2600, NULL ,2024,ranch,Y, NULL ,31,2023,3875
1635,1112,396 Melody Plains,440,North Euna,Vermont,61628,condo,6,3,3800, NULL ,1991,contemporary,Y, NULL ,46,2022,11395
1636,2562,10194 Luther Views,289,Giaview,Kentucky,939,condo,10,4,5900, NULL ,2009,italian,N, NULL ,71,2017,62002.5
1637,5178,614 Heath Mews,393,Port Lizethton,Rhode Island,41790,condo,10,1,5600, NULL ,1993,georgian,Y, NULL ,67,1995,242875
1638,8333,1945 Vern Walk,445,New Johnathanside,Rhode Island,41650,condo,4,3,2800, NULL ,1984,greek,N, NULL ,34,2007,71357.5
1639,5124,475 Corkery Burgs,364,Centreville,Florida,25625,condo,4,1,2600, NULL ,1949,french,N, NULL ,31,2021,11625
1640,8631,456 Morissette Walk,322,Stehrland,Wisconsin,17393,condo,4,3,2800, NULL ,1982,modern,Y, NULL ,34,2011,54567.5
1641,9649,780 Champlin Highway,401,Weissnatside,Texas,98428,condo,2,2,1700, NULL ,1930,gothic,N, NULL ,20,2012,30450
1642,6118,62657 Johnpaul Views,198,Howellcester,Virginia,66845,condo,6,6,4100, NULL ,1983,prairie,Y, NULL ,49,2018,37080
1643,5227,7943 Ratke Drive,453,Columbia,Alabama,18119,condo,4,3,2800, NULL ,1942,rowhouse,N, NULL ,34,2003,88147.5
1644,6239,603 Hagenes Corners,307,Predovicport,North Carolina,73200,condo,9,3,5300, NULL ,1958,antebellum,Y, NULL ,64,2010,111265
1645,292,269 Orie Views,158,Goodwinmouth,Oklahoma,39036,condo,12,7,7200, NULL ,2004,federal,N, NULL ,87,2000,260160
1646,1668,4739 Werner Harbors,463,South Bettestad,Tennessee,72278,condo,10,6,6100, NULL ,1978,farmhouse,Y, NULL ,73,1993,284580
1647,7026,166 Reinger Forge,214,New Amira,Nebraska,1089,condo,7,4,4400, NULL ,1988,saltbox,N, NULL ,53,1990,224655
1648,4950,80062 Jacobi Cliffs,338,Madelinestead,Texas,70873,condo,9,6,5600, NULL ,1999,A-frame,Y, NULL ,67,2016,67440
1649,1459,6516 Josefa Lake,461,Fort Melyna,Pennsylvania,27939,condo,5,4,3400, NULL ,1990,spanish,Y, NULL ,41,2009,76612.5
1650,8230,559 Willms Gateway,391,West Estherfort,Texas,19677,condo,5,1,3100, NULL ,2021,cabin,Y, NULL ,37,2002,101750
1651,8063,3709 Hiram Forks,137,Lake Dylanfort,Michigan,58366,condo,8,4,4900, NULL ,2004,colonial,N, NULL ,59,1989,257512.5
1652,6748,3119 Gregg Station,81,Malvinaburgh,Tennessee,95089,condo,11,4,6400, NULL ,1944,cape cod,N, NULL ,77,1987,355477.5
1653,8933,661 Volkman Skyway,488,South Agustin,Arkansas,67273,condo,5,2,3200, NULL ,1962,country,N, NULL ,38,2022,9575
1654,4574,8398 Roob Key,359,Fort Alexastad,Virginia,61699,condo,11,11,7100, NULL ,2001,victorian,Y, NULL ,86,2001,246847.5
1655,5239,8913 Kshlerin View,339,Miraclechester,Oklahoma,86233,condo,11,11,7100, NULL ,2003,tudor,N, NULL ,86,1985,418567.5
1656,2423,25256 Emma Pines,455,Altadena,West Virginia,46214,condo,4,3,2800, NULL ,2001,craftsman,Y, NULL ,34,1988,151110
1657,1551,344 Gleichner Plains,486,St. Louis,Kentucky,61733,condo,8,2,4700, NULL ,1991,cottage,N, NULL ,56,1987,260387.5
